nome;preco;descricao
Maxixe;R$ 7,99/kg;A partir de 250g
Natural Salads Repolho Misto;R$ 8,99;300 g
Batata Doce;R$ 5,99;400 g
Hortifrios Milho Verde Bandeja;R$ 9,99;5 Und
Qualitá Tomate Sweet Grape;R$ 21,90;200 g
Pimentão Blocky Vermelho;R$ 5,99;150 g
Qualitá Alface Lisa;R$ 4,99;1 Und
Pera Portuguêsa;R$ 3,22/u;Aprox. 180g/ud
Mandioca Descascada Pct;R$ 12,90;1 Kg
Tomate Cereja Rama;R$ 7,47/u;Aprox. 250g/ud
Alho Poró Qualitá;R$ 9,99;300 g
Taeq Batata Doce Orgânica;R$ 12,90;600 g
Hortelã Fresca;R$ 4,99;100 g
Brasfrut Polpa De Acerola;R$ 3,95;1 X 100 g
Brasfrut Polpa de Fruta Morango;R$ 7,19;1 X 100 g
Tangerina Brasfrutpolpa De;R$ 4,85;1 X 100 g
Paganini Polpa de Tomate em Conserva;R$ 13,29;1 X 400 g
Melancia Baby Corte;R$ 6,48/u;Aprox. 1082g/ud
Brasfrut Polpa de Caju;R$ 3,49;1 X 100 g
Brasfrut Polpa de Graviola;R$ 4,95;1 X 100 g
Brasfrut Polpa Coco;R$ 8,19;1 X 100 g
Taeq Polpa Abacaxi Com Hortelã;R$ 5,69;1 X 100 g
Taeq Polpa de Maracujá;R$ 6,99;1 X 100 g
Taeq Polpa Abacaxi;R$ 3,85;1 X 100 g
Taeq Polpa Uva;R$ 4,25;1 X 100 g
Polpa Tom Qualitá;R$ 2,95;1 x 300 g
Salada De Fruta Tropical;R$ 6,99;200 g
Daucy Salada Verão Congelada;R$ 7,19;1 X 300 g
Taeq Mix Vegetais Congelado 300 g;R$ 6,89;300 g
Machadinho Salada Verão;R$ 9,99;1 X 2 Kg
Machadinho Salada Leandro;R$ 12,99;200 g
Salada Mix Organica;R$ 16,39;180 g
Machadinho Salada Gabriel;R$ 9,99;200 g
Salada de Frutas Congelada Qualitá;R$ 24,69;1 X 400 g
Org Salada Mix 07;R$ 15,39;180 g
Qualitá Salada Mista;R$ 11,99;1 X 200 g
Org Salada Mix 04;R$ 16,39;180 g
Qualitá Salada Verde;R$ 11,99;1 X 200 g
Salada Mix;R$ 15,39;1 X 180 g
Machadinho Salada Tropical;R$ 10,99;200 g
Qualitá Tabule Higienizado Qualita;R$ 12,99;150 g
Org Salada Mix 08;R$ 13,39;180 g
Machadinho Salada Maionese;R$ 11,99;400 g
Salada Família 02 Qualitá;R$ 13,99;1 x 1 Und
Salada Família 04 Qualitá;R$ 13,99;1 x 1 Und
Salada Familia 05;R$ 10,98;300 g
Machadinho Salada Palito;R$ 12,99;1 X 400 g
Machadinho Salada Familia;R$ 10,98;300 g
Salada Verde Qualitá;R$ 7,99;1 x 170 g
Seu Zé Horta Fácil Salada Do Higienizada;R$ 7,90;1 X 200 g
Taeq Salada Mix 10 Orgânica;R$ 16,39;1 X 180 g
Taeq Cheiro Verde Orgânico;R$ 8,99;1 Und
Salsa e cebolinha Cheiro Verde;R$ 4,99;1 Und
Qualitá Cebolinha;R$ 4,99;1 Und
Qualitá Alecrim;R$ 4,99;1 Und
Sol dos Andes Cheiro Verde;R$ 9,39;60 g
Cheiro Verde Alface Mimosa Und;R$ 4,99;1 Und
Taeq Manjericão;R$ 10,90;1 Und
Qualitá Coentro em Folhas;R$ 2,29;8 g
Qualitá Cheiro Verde Em Folhas;R$ 3,19;8 g
Doce Erva Embalada Qualita;R$ 10,39;300 g
Vapza Mandioca Aipim Cozida no Vapor;R$ 16,39;500 g
Ervas Finas Qualita Ks 8G;R$ 1,99;8 g
Cheiro Verde Picado Malunga 50 g;R$ 7,59;50 g
Qualitá Alecrim;R$ 2,35;10 g
Seara Mandioca Supreme Pré-Cozida Congelada;R$ 15,49;300 g
Bombay Orégano;R$ 6,89;5 g
Qualitá Manjerona em Flocos;R$ 1,65;5 g
Companhia Das Ervas Cia Coentro Flocos;R$ 16,79;5 g
Doce Erva Qualita Ks 20G;R$ 3,39;20 g
Erva Cidreira Qualitá;R$ 3,25;8 g
Companhia Das Ervas Cogumelo Chileno Seco;R$ 29,99;50 g
Bombay Canela Rama Ct;R$ 7,19;10 g
Taeq Salsa Orgânica;R$ 5,99;1 Und
Machadinho Sasão Cortado;R$ 9,99;150 g
Beats Drink Pronto Senses 269 mL;R$ 5,29;1 X 269 mL
3 x Schweppes Bebida Mista Alcoólica Spritz 310Ml;R$ 22,17;
3 x Schweppes Drink Vodka & Citrus 310 mL;R$ 22,17;
Combo Schweppes Premium Drink Gin Ton + Spritz + Vodka & Citrus;R$ 22,17;
Beats Bebida Mista Skol Senses;R$ 6,99;1 X 269 mL
3 x Schweppes Premium Drink Gin Tonica 310 mL;R$ 22,17;
Beats GT Drink Pronto Sabor Gin&Tônica Long Neck;R$ 6,99;1 X 269 mL
Mikes Drink Pronto Ice Limão 269Ml Lata;R$ 6,69;1 X 269.0 mL
Mike's Drink Pronto Hard Lemonade Tangerina;R$ 6,69;1 X 269 mL
Skol Beats Drink Pronto Caipirinha Long Neck;R$ 6,99;1 X 269 mL
Lemon Dou Bebida Alcoólica Mista Gaseificada Limão e Sal;R$ 8,69;1 X 310 mL
Lemon Dou Bebida Mista Sabor Limão com Mel;R$ 8,69;1 X 310 mL
Lemon-Dou Bebida Alcoólica Mista Signature Limão 310 mL;R$ 8,69;1 X 310 mL
Schweppes Gin Tônica Premium Drink;R$ 5,17;1 X 310 mL
Easy Drinks Preparado Frutas Vermelhas;R$ 10,79;1 X 100 g
Schweppes Gin Tónica Premium Drink Pink Amor;R$ 7,39;1 X 310 mL
Schweppes Bebida Mista Alcoólica Gaseificada Spritz;R$ 5,17;1 X 310 mL
Schweppes Gin Intense Lata;R$ 5,89;1 X 269.0 mL
