nome;preco;descricao
Trebeschi Tomates Mini Grape Mel;R$ 6,99;1 X 180 g
Cica Polpa de Tomate Pomodoro;R$ 5,99;1 X 520 g
Brasfrut Polpa de Fruta Morango;R$ 4,99;1 X 100 g
Triang Fruit Polpa de Acerola;R$ 2,29;1 X 100 g
Hortelã Brasfrut Polpa De Fruta De Abacaxi Com;R$ 5,49;1 X 100 g
Brasfrut Polpa De Manga;R$ 2,99;1 X 100 g
Brasfrut Polpa Cupuaçu Congelado;R$ 4,99;1 X 100 g
Triang Fruit Polpa De Goiaba;R$ 1,99;1 X 100 g
Brasfrut Polpa de Caju;R$ 5,49;1 X 100 g
Triang Polpa De Manga Tring Fruit;R$ 1,99;1 X 100 g
Triang Polpa De Fruta Especialulo Frutas Vermelhas;R$ 5,99;100 g
Triang Fruit Polpa De Tamarindo;R$ 1,99;1 X 100 g
Triang Polpa De Fruta Especial Uva;R$ 4,99;100 g
Triang Polpa De Fruta Acerola E Laranja;R$ 2,29;1 X 100 g
Triang Polpa De Fruta De Limao;R$ 1,99;100 g
Triang Polpa De Fruta Especial Morango;R$ 4,99;100 g
Triang Fruit Polpa De Fruta Abacaxi;R$ 2,29;1 X 100 g
Triang Fauit Polpa De Fruta Especial Cupuacu;R$ 4,99;100 g
Triang Polpa De Fruta Mista Acerola E Mamao;R$ 2,29;100 g
Triang Polpa De Fruta Ulo Abx Hortela;R$ 2,29;100 g
Triang Polpa de Açaí;R$ 5,99;1 X 100 g
Triang Polpa Graviola Fruit;R$ 4,99;100 g
Jasmine Biscoito Vegano Maracujá e Chia Sou Sweet;R$ 7,99;1 X 75.0 g
Polpa Chambinho Mora;R$ 6,99;1 Und
Abacaxi Perola Descascado;R$ 9,20/u;Aprox. 460g/ud
Tanaka Orégano Vaso;R$ 19,99;1 Und
Delícia Camomila Q15 G;R$ 3,99;15 g
Q Delicia Erva Doce;R$ 5,29;50 g
Benassi Tomilho Vaso;R$ 19,99;1 Und
Pão Francês;R$ 1,89/u;Apróx 100g/und
Seven Boys Pão de Forma;R$ 10,90;1 X 450 g
Wickbold Pão do Forno 60% Integral;R$ 14,90;1 X 500 g
Seven Boys Pão Bisnaguinha Original;R$ 9,99;1 X 300 g
Visconti Pão de Forma Tradicional;R$ 6,99;1 X 400 g
Pão Francês Integral;R$ 1,42/u;Apróx 65g/und
Pullman Pão de Forma Integral Artesano;R$ 12,90;1 X 500 g
Pullman Pão Artesano Tradicional;R$ 12,90;1 X 500 g
Wickbold Pão de Forma Integral;R$ 12,90;1 X 450 g
Bauducco Torrada Tradicional;R$ 5,99;1 X 142 g
Pullman Pão Bisnaguito Tradicional;R$ 9,99;1 X 300 g
Moreira Pão de Forma;R$ 5,49;1 X 450 g
Visconti Pão de Forma Integral;R$ 7,99;1 X 400 g
Rap 10 Pão Tortilha Muito Fit;R$ 11,90;1 X 330 g
Santa Massa Pão de Alho Tradicional;R$ 18,90;1 X 400 g
Pullman Pão de Forma Tradicional;R$ 8,99;1 X 480 g
Pão Trigostosode Forma Tradicional;R$ 6,99;1 X 450 g
Bauducco Pão de Forma Integral;R$ 8,99;1 X 390 g
Bauducco Pão de Forma Tradicional;R$ 7,99;1 X 390.0 g
Nutrella Pão de Forma Frutas Grãos e Castanhas;R$ 16,90;1 X 550 g
Pão Caseiro;R$ 21,90/kg;400 g
Wickbold Pão Integral Castanha do Pará & Quinoa;R$ 18,90;1 X 500 g
Nutrella Pão de Forma Integral 14 Grãos;R$ 15,90;1 X 450.0 g
Plusvita Pão de Forma Artesano;R$ 12,90;1 X 500 g
Wickbold Pão Integral Grãos de Girassol e Castanha;R$ 17,90;1 X 400.0 g
Torradas;R$ 12,99/kg;300 g
Moreira Peta Padaria;R$ 14,90;150 g
Wickbold Pão Integral Grão Sabor Chia e Macadâmia;R$ 17,90;1 X 400 g
Wickbold Pão Integral 18 Grãos;R$ 18,90;1 X 500 g
Wickbold Pão de Forma Australiano Integral do Forno;R$ 14,90;1 X 500 g
Wickbold Pão Integral Grão Sabor Maçã Canela e Passas;R$ 18,90;1 X 500 g
Pão Carequinha Padaria Moreira;R$ 7,90/kg;350 g
Seven Boys Pão de Sanduiche Leite;R$ 10,90;1 X 450.0 g
Dr. Oetker Fermento Biológico Seco Instantâneo;R$ 1,79;1 X 10 g
Wickbold Pão Tortilha Wrap Integral;R$ 12,90;1 X 270 g
Moreira Pao Forma Integral;R$ 7,49;450 g
Rap 10 Pão Tipo Tortilha Integral Chia e Quinoa;R$ 10,90;1 X 264.0 g
Pão De Ovos Padaria Moreira;R$ 11,90/kg;100 g
Wickbold Pão de Forma do Forno Original;R$ 12,90;1 X 500 g
Baguete Padaria Moreira Com Gergelim;R$ 18,90/kg;200 g
Wickbold Pão Tortilha Tá Pronto Proteína;R$ 16,90;1 X 270 g
Nutrella Pão de Forma Integral Grãos e Castanhas;R$ 15,90;1 X 450 g
Zinho Pão de Alho Recheado com Queijo Tipo Bolinha;R$ 14,90;1 X 300 g
Safita Pão Sirio;R$ 8,99;230 g
Pão Mandi Padaria Moreira;R$ 21,90/kg;400 g
Wickbold Pão Tortilha Wrap Original Tá Pronto;R$ 12,90;1 X 270 g
Pullman Pão Integral 12 Grãos;R$ 14,90;1 X 450 g
Pullman Pão para Hot Dog;R$ 9,49;1 X 270 g
Moreira Panificadora Pão Hot Dog;R$ 6,99;320 g
Baguete;R$ 18,90/kg;350 g
Visconti Torrada Multigrãos;R$ 4,99;1 X 120 g
Pão Doce Balcão Padaria Moreira;R$ 21,90/kg;350 g
Trigostoso Pão de Forma de Leite Tradicional;R$ 8,49;1 X 450 g
Pullman Pão de Forma Integral;R$ 11,90;1 X 480 g
Santa massa Pão de Alho Levemente Picante;R$ 18,90;1 X 400 g
Torcida Salgadinho Elma Chips Pão de Alho;R$ 4,99;1 X 100 g
Pullman Pão de Forma Integral sem Açúcar;R$ 12,90;1 X 350 g
Seven Boys Pão de Sanduíche Integral;R$ 12,90;1 X 450 g
Pullman Pão 100% Integral Grãos e Castanhas;R$ 14,90;1 X 450 g
Pão De Queijo Arte Trigo;R$ 18,90;1 Kg
Caponata Especial;R$ 36,90;1 Und
Doce De Real Figo;R$ 20,27/u;Aprox. 350g/ud
Donuts Creme De Avelã;R$ 54,90/kg;250 g
Bauducco Bolinho Sabor Duplo Chocolate;R$ 1,99;1 X 40 g
Bauducco Bolinho Sabor Morango;R$ 1,99;1 X 40 g
Seven Boys Bolinho de Chocolate;R$ 2,69;1 X 30 g
Moreira Padaria Panettone Gotas Chocolate;R$ 9,90;400 g
Lacta Bombom de Chocolate Sonho de Valsa;R$ 2,59;1 X 20 g
Ana Maria Bolinho Recheado Chocolate com Baunilha;R$ 1,99;1 X 35 g
Bauducco Pão de Mel Chocolate ao Leite;R$ 11,90;1 X 240.0 g
Ana Maria Bolo Baunilha;R$ 1,99;1 X 35 g
Brioche Leite Em Pó Com Baba De Moça Padaria Moreira;R$ 35,90/kg;300 g
Italac Mistura Para Bolo Sabor Laranja;R$ 6,49;1 X 400 g
Seven Boys Biscoito Sequilhos Tradicional com Leite;R$ 12,90;1 X 400 g
Bauducco Bolinho Duo Cenoura;R$ 1,39;27 g
Moreira Panettone;R$ 9,90;400 g
Italac Mistura para Bolo Sabor Limão;R$ 6,49;1 X 400 g
Croissant Padaria Moreira Chocolate;R$ 59,90/kg;150 g
Donuts Coco E Chocolate;R$ 39,90/kg;300 g
Casadinho Pão De Mel Padaria Moreira;R$ 33,90/kg;300 g
Bauducco Bolinho Muffin Cereale Banana E Castanhas;R$ 1,69;1 X 35 g
Dr. Oetker Mistura para Bolo Sabor Aipim;R$ 7,49;1 X 400 g
Belive Brownie Cappuccino Protein Zero;R$ 10,90;1 X 40 g
Suavipan Bolo Light Baunilha com Morango;R$ 6,49;1 X 40 g
Suavipan Bolinho Zero Açúcar Chocolate Com Baunilha;R$ 6,49;1 X 40 g
Dori Amendoim com Chocolate;R$ 11,90;1 X 150 g
Bisnaguinha Trigostoso;R$ 8,49;1 X 300 g
Moreira Casadinho Doce De Leite Padaria;R$ 33,90/kg;300 g
Bauducco Bolinho Kids Gotas Chocolate;R$ 1,99;40 g
Sonho Baunilha;R$ 34,90/kg;150 g
Balardin Biscoito Polvilho Tradicional;R$ 9,99;1 X 60 g
Brioche De Creme;R$ 44,90/kg;400 g
Belive Brownie Sabor Caramelo Castanha Do Brasil Sem Glúten;R$ 8,99;1 X 40 g
Belive Be Free Bolinho Muffin Sem Açúcar Sabor Double Chocolate;R$ 5,99;1 X 40 g
Bauducco Bolo Duo Baunilha com Recheio de Chocolate;R$ 1,39;1 X 27 g
Bauducco Rocambole com Recheio e Cobertura de Chocolate Roll;R$ 1,79;1 X 34 g
Ana Maria Bolo de Baunilha com Recheio de Baunilha;R$ 4,49;1 X 70.0 g
Ana Maria Bolo Baunilha Recheio de Chocolate;R$ 4,49;1 X 70 g
Bauducco Bolinho de Chocolate com Baunilha;R$ 1,99;1 X 40 g
Seven Boys Bolinho de Laranja;R$ 2,69;1 X 30 g
Bauducco Bolinho de Laranja;R$ 1,99;1 X 40 g
Ana Maria Bolinho Cenoura com Chocolate;R$ 1,99;1 X 35 g
Ana Maria Bolinho Chocolate com Recheio de Chocolate;R$ 1,99;1 X 35 g
Croissant Queijo Padaria Moreira;R$ 59,90/kg;150 g
