;nome;preco;descricao
93;Mundialrio Pimentão Colorido Peças;R$ 6,00/u;Aprox. 200g/ud
94;Santa Rita Abóbora Italiana;R$ 11,99;400 g
95;Santa Rita Berinjela;R$ 7,99;350 g
96;Abóbora Moranga;R$ 18,57/u;Aprox. 3100g/ud
97;Batata Yacom;R$ 6,25/u;Aprox. 250g/pct
98;Rabanete Viva Natural Org;R$ 5,99;250 g
99;Alho;R$ 9,49;100 g
100;Santa Rita Pimentão Verde;R$ 7,99;220 g
101;Salad Sensation Tomate Kiara;R$ 12,99;300 g
102;Alho Ki Arjo 200 g;R$ 7,99;200 g
103;Fugini Seleta de Legumes Cozida ao Vapor;R$ 6,49;200 g
104;Viva Natural Almeirão Organico;R$ 4,99;300 g
105;Mandioca Descascada;R$ 6,99/kg;A partir de 500g
106;Alho Poró;R$ 6,99;140 g
107;Trebeschi Alho Roxo Especial;R$ 8,99;100 g
108;Trebeschi Tomate Sweet Grape;R$ 14,99;500 mL
109;Trebeschi Pimentão Block;R$ 5,99;210 g
110;Trebeschi Tomates Mini Grape Mel;R$ 6,99;1 X 180 g
111;Cica Polpa de Tomate Pomodoro;R$ 5,99;1 X 520 g
112;Brasfrut Polpa de Fruta Morango;R$ 4,99;1 X 100 g
113;Triang Fruit Polpa de Acerola;R$ 2,29;1 X 100 g
114;Hortelã Brasfrut Polpa De Fruta De Abacaxi Com;R$ 5,49;1 X 100 g
115;Brasfrut Polpa De Manga;R$ 2,99;1 X 100 g
116;Brasfrut Polpa Cupuaçu Congelado;R$ 4,99;1 X 100 g
117;Triang Fruit Polpa De Goiaba;R$ 1,99;1 X 100 g
118;Brasfrut Polpa de Caju;R$ 5,49;1 X 100 g
119;Triang Polpa De Manga Tring Fruit;R$ 1,99;1 X 100 g
120;Triang Polpa De Fruta Especialulo Frutas Vermelhas;R$ 5,99;100 g
121;Triang Fruit Polpa De Tamarindo;R$ 1,99;1 X 100 g
122;Triang Polpa De Fruta Especial Uva;R$ 4,99;100 g
123;Triang Polpa De Fruta Acerola E Laranja;R$ 2,29;1 X 100 g
124;Triang Polpa De Fruta De Limao;R$ 1,99;100 g
125;Triang Polpa De Fruta Especial Morango;R$ 4,99;100 g
126;Triang Fruit Polpa De Fruta Abacaxi;R$ 2,29;1 X 100 g
127;Triang Fauit Polpa De Fruta Especial Cupuacu;R$ 4,99;100 g
128;Triang Polpa De Fruta Mista Acerola E Mamao;R$ 2,29;100 g
129;Triang Polpa De Fruta Ulo Abx Hortela;R$ 2,29;100 g
130;Triang Polpa de Açaí;R$ 5,99;1 X 100 g
131;Triang Polpa Graviola Fruit;R$ 4,99;100 g
132;Jasmine Biscoito Vegano Maracujá e Chia Sou Sweet;R$ 7,99;1 X 75.0 g
133;Polpa Chambinho Mora;R$ 6,99;1 Und
134;Abacaxi Perola Descascado;R$ 9,20/u;Aprox. 460g/ud
135;Tanaka Orégano Vaso;R$ 19,99;1 Und
136;Delícia Camomila Q15 G;R$ 3,99;15 g
137;Q Delicia Erva Doce;R$ 5,29;50 g
138;Benassi Tomilho Vaso;R$ 19,99;1 Und
139;Pão Francês;R$ 1,89/u;Apróx 100g/und
140;Seven Boys Pão de Forma;R$ 10,90;1 X 450 g
141;Wickbold Pão do Forno 60% Integral;R$ 14,90;1 X 500 g
142;Seven Boys Pão Bisnaguinha Original;R$ 9,99;1 X 300 g
143;Pão Francês Integral;R$ 1,42/u;Apróx 65g/und
144;Pullman Pão de Forma Integral Artesano;R$ 12,90;1 X 500 g
145;Pullman Pão Artesano Tradicional;R$ 12,90;1 X 500 g
146;Wickbold Pão de Forma Integral;R$ 12,90;1 X 450 g
147;Pullman Pão Bisnaguito Tradicional;R$ 9,99;1 X 300 g
148;Moreira Pão de Forma;R$ 5,49;1 X 450 g
149;Rap 10 Pão Tortilha Muito Fit;R$ 11,90;1 X 330 g
150;Santa Massa Pão de Alho Tradicional;R$ 18,90;1 X 400 g
151;Pullman Pão de Forma Tradicional;R$ 8,99;1 X 480 g
152;Pão Trigostosode Forma Tradicional;R$ 6,99;1 X 450 g
153;Nutrella Pão de Forma Frutas Grãos e Castanhas;R$ 16,90;1 X 550 g
154;Pão Caseiro;R$ 21,90/kg;400 g
155;Wickbold Pão Integral Castanha do Pará & Quinoa;R$ 18,90;1 X 500 g
156;Nutrella Pão de Forma Integral 14 Grãos;R$ 15,90;1 X 450.0 g
157;Plusvita Pão de Forma Artesano;R$ 12,90;1 X 500 g
158;Wickbold Pão Integral Grãos de Girassol e Castanha;R$ 17,90;1 X 400.0 g
159;Torradas;R$ 12,99/kg;300 g
160;Moreira Peta Padaria;R$ 14,90;150 g
161;Wickbold Pão Integral Grão Sabor Chia e Macadâmia;R$ 17,90;1 X 400 g
162;Wickbold Pão Integral 18 Grãos;R$ 18,90;1 X 500 g
163;Wickbold Pão de Forma Australiano Integral do Forno;R$ 14,90;1 X 500 g
164;Wickbold Pão Integral Grão Sabor Maçã Canela e Passas;R$ 18,90;1 X 500 g
165;Pão Carequinha Padaria Moreira;R$ 7,90/kg;350 g
166;Seven Boys Pão de Sanduiche Leite;R$ 10,90;1 X 450.0 g
167;Dr. Oetker Fermento Biológico Seco Instantâneo;R$ 1,79;1 X 10 g
168;Wickbold Pão Tortilha Wrap Integral;R$ 12,90;1 X 270 g
169;Moreira Pao Forma Integral;R$ 7,49;450 g
170;Rap 10 Pão Tipo Tortilha Integral Chia e Quinoa;R$ 10,90;1 X 264.0 g
171;Pullman Pão de Hambúrguer Grand Burger Brioche;R$ 13,90;1 X 520 g
172;Pão De Ovos Padaria Moreira;R$ 11,90/kg;100 g
173;Wickbold Pão de Forma do Forno Original;R$ 12,90;1 X 500 g
174;Baguete Padaria Moreira Com Gergelim;R$ 18,90/kg;200 g
175;Wickbold Pão Tortilha Tá Pronto Proteína;R$ 16,90;1 X 270 g
176;Nutrella Pão de Forma Integral Grãos e Castanhas;R$ 15,90;1 X 450 g
177;Zinho Pão de Alho Recheado com Queijo Tipo Bolinha;R$ 14,90;1 X 300 g
178;Safita Pão Sirio;R$ 8,99;230 g
179;Pão Mandi Padaria Moreira;R$ 21,90/kg;400 g
180;Wickbold Pão Tortilha Wrap Original Tá Pronto;R$ 12,90;1 X 270 g
181;Pullman Pão Integral 12 Grãos;R$ 14,90;1 X 450 g
182;Pullman Pão para Hot Dog;R$ 9,49;1 X 270 g
183;Moreira Panificadora Pão Hot Dog;R$ 6,99;320 g
184;Baguete;R$ 18,90/kg;350 g
185;Pão Doce Balcão Padaria Moreira;R$ 21,90/kg;350 g
186;Trigostoso Pão de Forma de Leite Tradicional;R$ 8,49;1 X 450 g
187;Pullman Pão de Forma Integral;R$ 11,90;1 X 480 g
188;Santa massa Pão de Alho Levemente Picante;R$ 18,90;1 X 400 g
189;Torcida Salgadinho Elma Chips Pão de Alho;R$ 4,99;1 X 100 g
190;Pullman Pão de Forma Integral sem Açúcar;R$ 12,90;1 X 350 g
191;Seven Boys Pão de Sanduíche Integral;R$ 12,90;1 X 450 g
192;Pullman Pão Hambúrguer com Gergelim;R$ 13,90;1 X 420 g
193;Pullman Pão 100% Integral Grãos e Castanhas;R$ 14,90;1 X 450 g
194;Pão De Queijo Arte Trigo;R$ 18,90;1 Kg
195;Pão Manteiga;R$ 21,90/kg;300 g
196;Pão De Queijo;R$ 39,90/kg;350 g
197;Croissant Padaria Moreira Goiabada;R$ 54,90/kg;150 g
198;Pão Semi Italiano Padaria Moreira;R$ 29,90/kg;300 g
199;Caponata Especial;R$ 36,90;1 Und
200;Doce De Real Figo;R$ 20,27/u;Aprox. 350g/ud
201;Donuts Creme De Avelã;R$ 54,90/kg;250 g
202;Bauducco Bolinho Sabor Duplo Chocolate;R$ 1,99;1 X 40 g
203;Bauducco Bolinho Sabor Morango;R$ 1,99;1 X 40 g
204;Seven Boys Bolinho de Chocolate;R$ 2,69;1 X 30 g
205;Moreira Padaria Panettone Gotas Chocolate;R$ 9,90;400 g
206;Lacta Bombom de Chocolate Sonho de Valsa;R$ 2,59;1 X 20 g
207;Ana Maria Bolinho Recheado Chocolate com Baunilha;R$ 1,99;1 X 35 g
208;Bauducco Pão de Mel Chocolate ao Leite;R$ 11,90;1 X 240.0 g
209;Ana Maria Bolo Baunilha;R$ 1,99;1 X 35 g
210;Brioche Leite Em Pó Com Baba De Moça Padaria Moreira;R$ 35,90/kg;300 g
211;Italac Mistura Para Bolo Sabor Laranja;R$ 6,49;1 X 400 g
212;Seven Boys Biscoito Sequilhos Tradicional com Leite;R$ 12,90;1 X 400 g
213;Bauducco Bolinho Duo Cenoura;R$ 1,39;27 g
214;Moreira Panettone;R$ 9,90;400 g
215;Italac Mistura para Bolo Sabor Limão;R$ 6,49;1 X 400 g
216;Croissant Padaria Moreira Chocolate;R$ 59,90/kg;150 g
217;Donuts Coco E Chocolate;R$ 39,90/kg;300 g
218;Casadinho Pão De Mel Padaria Moreira;R$ 33,90/kg;300 g
219;Bauducco Bolinho Muffin Cereale Banana E Castanhas;R$ 1,69;1 X 35 g
220;Dr. Oetker Mistura para Bolo Sabor Aipim;R$ 7,49;1 X 400 g
221;Belive Brownie Cappuccino Protein Zero;R$ 10,90;1 X 40 g
222;Suavipan Bolo Light Baunilha com Morango;R$ 6,49;1 X 40 g
223;Suavipan Bolinho Zero Açúcar Chocolate Com Baunilha;R$ 6,49;1 X 40 g
224;Dori Amendoim com Chocolate;R$ 11,90;1 X 150 g
225;Bisnaguinha Trigostoso;R$ 8,49;1 X 300 g
226;Moreira Casadinho Doce De Leite Padaria;R$ 33,90/kg;300 g
227;Bauducco Bolinho Kids Gotas Chocolate;R$ 1,99;40 g
228;Sonho Baunilha;R$ 34,90/kg;150 g
229;Balardin Biscoito Polvilho Tradicional;R$ 9,99;1 X 60 g
230;Brioche De Creme;R$ 44,90/kg;400 g
231;Belive Brownie Sabor Caramelo Castanha Do Brasil Sem Glúten;R$ 8,99;1 X 40 g
232;Belive Be Free Bolinho Muffin Sem Açúcar Sabor Double Chocolate;R$ 5,99;1 X 40 g
233;Bauducco Bolo Duo Baunilha com Recheio de Chocolate;R$ 1,39;1 X 27 g
234;Bauducco Rocambole com Recheio e Cobertura de Chocolate Roll;R$ 1,79;1 X 34 g
235;Ana Maria Bolo de Baunilha com Recheio de Baunilha;R$ 4,49;1 X 70.0 g
236;Ana Maria Bolo Baunilha Recheio de Chocolate;R$ 4,49;1 X 70 g
237;Bauducco Bolinho de Chocolate com Baunilha;R$ 1,99;1 X 40 g
238;Seven Boys Bolinho de Laranja;R$ 2,69;1 X 30 g
239;Bauducco Bolinho de Laranja;R$ 1,99;1 X 40 g
240;Ana Maria Bolinho Cenoura com Chocolate;R$ 1,99;1 X 35 g
241;Ana Maria Bolinho Chocolate com Recheio de Chocolate;R$ 1,99;1 X 35 g
242;Croissant Queijo Padaria Moreira;R$ 59,90/kg;150 g
243;Ana Maria Mini Bolo Napolitano;R$ 1,99;1 X 42 g
244;Ana Maria Bolinho de Baunilha com Recheio de Chocolate;R$ 1,99;1 X 35 g
245;Bolinho de Chocolate com Baunilha 40g;R$ 1,99;1 X 40 g
246;Belive Brownie Chocolate Zero sem Glúten;R$ 8,99;1 X 40 g
247;Seven Boys Bolo de Chocolate;R$ 12,90;1 X 250 g
248;Fleischmann Mistura para Bolo de Cenoura Up;R$ 10,90;1 X 390 g
249;Ana Maria Bolo Banana Com Recheio de Chocolate;R$ 1,99;1 x 35 g
250;Bauducco Bolinho De Laranja;R$ 1,69;1 X 30 g
251;Seven Boys Bolo de Coco;R$ 8,99;1 X 250.0 g
252;Bolo De Fubá Kg;R$ 17,90;1 Und
253;Kodilar Fubá Mimoso;R$ 4,99;1 X 500 g
254;Bauducco Bolinho Kids Brigadadeiro;R$ 1,99;1 X 40 g
255;Seven Boys Bolo Formigueiro;R$ 8,99;1 X 250 g
256;Belive Muffin de Coco com Chocolate Zero Lactose;R$ 5,99;1 X 40 g
257;Pita Bread Torrada Crocante Integral;R$ 0,02;1 X 125 g
258;Pullman Bolo Frapê Chocolate e Coco;R$ 9,99;1 X 250.0 g
259;Bauducco Torrada Multigrãos;R$ 10,90;1 X 284 g
260;Torrada Tradicional Visconti 120g;R$ 4,99;1 X 120 g
261;Suavipan Bolinho Zero Açúcar Sabor Cenoura;R$ 6,49;1 X 40 g
262;Ket Elefante;R$ 9,49;350 g
263;Grand Old Parr Whisky 12 Anos Escocês;R$ 199,90;1 X 1.0 L
264;Johnnie Walker Whisky Escocês Black Label 12 Anos;R$ 239,90;1 X 1 L
265;Jack Daniel's Whisky Tennessee Honey;R$ 199,90;1 X 1 L
266;Johnnie Walker Whisky Escocês Red Label;R$ 129,90;1 X 1.0 L
267;Black Stone Aperitivo;R$ 32,90;1 X 1 L
268;Jack Daniel's Whisky;R$ 199,90;1 X 1 L
269;White Horse Whisky 8 Anos;R$ 109,90;1 X 1 L
270;Mikes Drink Pronto Ice Limão 269Ml Lata;R$ 7,49;1 X 269.0 mL
271;Cabaré Ice Bebida Mista Limão;R$ 6,99;1 X 275 mL
272;Beats GT Drink Pronto Sabor Gin&Tônica Long Neck;R$ 8,99;1 X 269 mL
273;Keep Cooler Ice Morango;R$ 9,99;1 X 275 mL
274;Birinight Bebida Ice Limão;R$ 14,90;1 X 1 L
275;Tanqueray Gin Ten;R$ 279,90;1 X 750 mL
276;Tanqueray Gin London Dry;R$ 149,90;1 X 750 mL
277;Gordon's Gin London Dry;R$ 99,90;1 X 750 mL
278;Rock's Gin Seco;R$ 38,90;1 X 1 L
279;Rocks Gin Doce Sunset;R$ 38,90;1 X 1 L
280;Gin Ruvolo Taca Paraclub Haste Azul;R$ 37,90;1 X 1 Und
281;Gordon's Taça para Gin;R$ 79,90;1 X 1 Und
282;Corote Coquetel Alcoólico Limão;R$ 6,49;1 X 500 mL
283;Ypióca Guaraná;R$ 29,90;1 X 1 Und
284;Velho Barreiro Cachaça Adoçada;R$ 21,90;1 X 910.0 mL
285;Caninha 29 Cachaça Pet;R$ 6,99;1 X 500 mL
286;Cachaça 51 Aguardente Ouro;R$ 29,90;1 X 965 mL
287;Ypióca Cachaça Ouro Empalhada;R$ 54,90;1 X 965 mL
288;Sagatiba Envelhecida Cachaça 700ml;R$ 149,90;1 X 700 mL
289;Ypióca Aguardente Ouro;R$ 27,90;1 X 965 mL
290;Smirnoff Vodka Destilada;R$ 33,90;1 X 600 mL
291;Orloff Vodka;R$ 43,90;1 X 1 L
292;Ciroc Vodka 5X Destilada Importada;R$ 179,90;1 X 750 mL
293;Absolut Vodka Destilada Original;R$ 129,90;1 X 1 L
294;Minalba Água Mineral Natural sem Gás;R$ 3,29;1 X 1.5 L
295;Minalba Água Mineral sem Gás;R$ 1,99;1 X 510.0 mL
296;Coco Água de Coco Esterilizada Kero 1L;R$ 15,90;1 X 1 L
297;Pureza Vital Água Mineral Natural sem Gás;R$ 1,79;1 X 510 mL
298;Minalba Água Mineral Natural com Gás;R$ 2,19;1 X 310 mL
299;Minalba Agua Mineral Sem Gas;R$ 1,79;1 X 310 mL
300;Minalba Água Mineral Com Gás;R$ 2,49;1 X 510 mL
301;Nestlé Água Mineral Natural Pureza Vital sem Gás;R$ 2,99;1 X 1.5 L
302;Indaiá Água Mineral Natural com Gás;R$ 2,19;1 X 500 mL
303;Minalba Água Mineral sem Gás;R$ 10,90;1 X 5.0 L
304;Antarctica Água Tônica Zero Açúcar;R$ 3,39;1 X 350 mL
305;Minalba Água Mineral Natural;R$ 19,90;1 X 10 L
306;Sococo Água de Coco Integral;R$ 12,90;1 X 1 L
307;Antarctica Água Tônica 3 Limões;R$ 2,49;1 X 269.0 mL
